Entity,Year,flights_airline,flights_total,share
SWISS Group,2021,66111,3548955,0.01862830044336995
SWISS Group,2022,155541,7403022,0.021010473830822062
SWISS Group,2023,32525,1472690,0.0220854354955897
TAP Group,2020,48002,2877806,0.016680068079641227
TAP Group,2021,61521,3548955,0.017334961981766463
TAP Group,2022,135486,7403022,0.018301445004486005
TAP Group,2023,29408,1472690,0.01996890044748046
TUI Group,2020,40675,2877806,0.014134031272434625
TUI Group,2021,61887,3548955,0.017438090930992363
TUI Group,2022,154339,7403022,0.020848107705204712
TUI Group,2023,19552,1472690,0.013276385390000612
Turkish Airlines,2020,229255,2877806,0.07966311836169637
Turkish Airlines,2021,342463,3548955,0.09649685611680058
Turkish Airlines,2022,566390,7403022,0.07650794499867757
Turkish Airlines,2023,124359,1472690,0.08444343344492052
Volotea,2020,30506,2877806,0.010600436582591043
Volotea,2021,41810,3548955,0.011780932697089706
Volotea,2022,77180,7403022,0.01042547219230201
Volotea,2023,7174,1472690,0.004871357855353129
Vueling,2020,75116,2877806,0.026101828962758436
Vueling,2021,111637,3548955,0.03145630192549638
Vueling,2022,246718,7403022,0.0333266603827464
Vueling,2023,47847,1472690,0.032489525969484415
Wideroe,2020,90682,2877806,0.03151081066618111
Wideroe,2021,107890,3548955,0.03040049817481484
Wideroe,2022,149025,7403022,0.02013029273720921
Wideroe,2023,30342,1472690,0.02060311402942914
Wizz Air Group,2020,114300,2877806,0.03971775720809533
Wizz Air Group,2021,142576,3548955,0.04017407941210863
Wizz Air Group,2022,310605,7403022,0.041956514515288486
Wizz Air Group,2023,65728,1472690,0.044631253013193546
easyJet Group,2020,200092,2877806,0.06952935673912695
easyJet Group,2021,221440,3548955,0.062395832012521996
easyJet Group,2022,600802,7403022,0.08115631697433831
easyJet Group,2023,108989,1472690,0.07400674955353809
